#"Step","Potential Energy (kJ/mole)"
100,51.55882263183594
200,62.69984436035156
300,49.59659194946289
400,57.18626022338867
500,77.78435516357422
600,61.21735382080078
700,73.84341430664062
800,64.62793731689453
900,57.678226470947266
1000,62.652278900146484
1100,58.37428665161133
1200,66.58708190917969
1300,70.00501251220703
1400,55.53324890136719
1500,58.75018310546875
1600,63.712738037109375
1700,51.935855865478516
1800,70.67012023925781
1900,58.004364013671875
2000,73.33642578125
2100,66.25333404541016
2200,58.58141326904297
2300,52.05620574951172
2400,86.4014892578125
2500,78.46550750732422
2600,69.89982604980469
2700,47.35442352294922
2800,67.25927734375
2900,75.58660125732422
3000,53.85326385498047
3100,61.70051193237305
3200,58.50847244262695
3300,61.582115173339844
3400,72.7716293334961
3500,77.51936340332031
3600,64.52102661132812
3700,58.28898620605469
3800,56.303855895996094
3900,67.37598419189453
4000,62.48811340332031
4100,65.45571899414062
4200,47.61697006225586
4300,87.52041625976562
4400,52.67118835449219
4500,67.15092468261719
4600,55.404029846191406
4700,57.85169219970703
4800,57.11176681518555
4900,57.70592498779297
5000,45.38969039916992
5100,51.49372100830078
5200,58.874908447265625
5300,61.49919509887695
5400,51.89619064331055
5500,71.24625396728516
5600,43.10212707519531
5700,51.098690032958984
5800,53.30161666870117
5900,69.4774169921875
6000,64.01543426513672
6100,60.393280029296875
6200,53.201229095458984
6300,51.7200927734375
6400,55.7641716003418
6500,68.25291442871094
6600,59.66522979736328
6700,48.85765075683594
6800,44.72144317626953
6900,38.48636245727539
7000,56.93456268310547
7100,51.823429107666016
7200,57.49934387207031
7300,67.5837631225586
7400,71.06581115722656
7500,60.360740661621094
7600,86.08152770996094
7700,63.97884750366211
7800,81.01280212402344
7900,59.50750732421875
8000,72.54804229736328
8100,55.29084396362305
8200,71.21058654785156
8300,51.53901290893555
8400,67.65777587890625
8500,63.09743118286133
8600,68.2414321899414
8700,53.86806869506836
8800,62.71331787109375
8900,78.5882568359375
9000,54.553714752197266
9100,78.93031311035156
9200,60.475730895996094
9300,59.959503173828125
9400,60.529624938964844
9500,55.829341888427734
9600,48.86471939086914
9700,57.638877868652344
9800,59.013023376464844
9900,65.71470642089844
10000,56.443328857421875
10100,90.06425476074219
10200,69.63410949707031
10300,60.56023406982422
10400,61.924522399902344
10500,48.76948928833008
10600,56.897254943847656
10700,54.96892166137695
10800,73.55955505371094
10900,57.58334732055664
11000,62.37489700317383
11100,47.640960693359375
11200,50.30426788330078
11300,58.806087493896484
11400,54.82196044921875
11500,60.82014465332031
