#"Step","Potential Energy (kJ/mole)"
100,56.88973817222339
200,78.87745745818513
300,63.70154336103462
400,53.09441771340905
500,80.6703528802133
600,68.11384282854999
700,66.90996755362914
800,70.85410446147782
900,48.86945458001192
1000,65.4937878596106
1100,69.44186553431909
1200,71.12986107054415
1300,69.55538346654188
1400,71.0359184551476
1500,59.023877651464915
1600,65.92072211545475
1700,57.10095325791296
1800,67.80422621872063
1900,66.45690476456
2000,65.16884087342845
2100,72.67804558784805
2200,58.39477772517639
2300,47.762437484935916
2400,62.1367963276933
2500,52.79733741617773
2600,66.71891664672232
2700,80.32725893841952
2800,61.309716439914816
2900,48.04375448168619
3000,51.00466237675254
3100,73.71763722539646
3200,54.24073271844705
3300,62.82660217350157
3400,68.94074198828362
3500,77.33344903058294
3600,80.85082572176826
3700,61.55398902365446
3800,54.36602484086482
3900,47.79616790101716
4000,57.05758712864591
4100,52.33909033287922
4200,42.52701501349647
4300,56.516825147570984
4400,73.7448041217945
4500,72.99393814399312
4600,46.726473913846704
4700,65.6900185818571
4800,54.962032189571616
4900,79.41458768829762
5000,46.797282225729965
5100,58.97087052878156
5200,70.65701998456377
5300,57.513073386961636
5400,55.097745336117505
5500,61.44230493284333
5600,60.58495831697525
5700,71.79183026793314
5800,60.181191358674276
5900,65.23312996702508
6000,53.12984646634326
6100,63.463960107212124
6200,65.09196402206422
6300,65.06272681219305
6400,76.57033216902698
6500,59.68066359804687
6600,55.75422454134404
6700,58.810998668765734
6800,62.686908290886635
6900,63.413230270193566
7000,52.71538343570901
7100,54.10775445094716
7200,66.46047174031094
7300,64.31750247975803
7400,68.93483854400318
7500,65.82075035381962
7600,55.28640872611989
7700,52.477761957177606
7800,84.64034313682602
7900,82.88740607609154
8000,54.771527664113584
8100,55.135098931389166
8200,43.737807013483135
8300,48.50348134687161
8400,70.1431688517468
8500,51.10317801174679
8600,55.41870563562654
8700,59.85369778126666
8800,65.68700605512217
8900,55.890922871530805
9000,60.77007429843678
9100,54.289072576086475
9200,63.47562690368606
9300,73.97270718172346
9400,70.88832693384539
9500,60.01771066240296
9600,80.04738073941228
9700,46.646853891131514
9800,64.8079458392029
9900,75.90511125951534
10000,75.95052942503025
10100,73.72431735566302
10200,69.38236237671657
10300,65.55847251280535
10400,70.620305061508
10500,64.55935592931156
10600,71.22461050609226
10700,57.61970535379749
10800,64.42990615889248
10900,49.27373399135978
11000,67.592896626061
11100,77.37531700403592
11200,54.22999695310627
11300,43.26102708854096
11400,56.76166668322907
11500,68.8360262915297
11600,71.41935851450363
11700,50.72368092550604
11800,47.47656643318329
11900,47.25313270255723
12000,43.042344940497735
12100,58.77133715607269
12200,72.59430709472159
12300,54.63246280970834
12400,64.21348748905572
12500,67.36512210876437
12600,70.60791388682723
12700,53.5027372256517
12800,54.37168386492906
12900,53.44727700485427
13000,46.39476430072334
13100,35.00779218788576
13200,43.23576983733167
13300,72.589155899694
13400,58.390886707416946
13500,57.202934007705416
13600,79.02912969583387
13700,71.55960614008364
13800,74.10083382892815
13900,98.41822303589574
14000,65.8910824509878
14100,79.75987015263152
14200,69.95802184939232
14300,56.66262179670152
