#"Step","Potential Energy (kJ/mole)"
100,55.543243408203125
200,61.521782034851256
300,80.01114526975933
400,71.37340233173113
500,64.7433561306443
600,53.779704317560245
700,69.93656642930566
800,88.73098583336102
900,71.44601582845759
1000,83.37054522235573
1100,42.83428401856215
1200,54.35056109931255
1300,74.79227151804926
1400,48.377765612999625
1500,78.9821529383383
1600,52.55037870686457
1700,56.66571449432128
1800,60.73617315478692
1900,65.98065959510664
2000,55.106990255059266
2100,58.01367103189231
2200,58.530388736394336
2300,65.97871173775813
2400,65.82523213267784
2500,73.09450403280853
2600,72.39781949093872
2700,54.36570606324113
2800,60.98817661055965
2900,55.00029947775655
3000,54.97562137934578
3100,61.65922763095135
3200,56.49960514310601
3300,55.1774305969976
3400,62.77865663738968
3500,66.73871606853267
3600,53.1240344610542
3700,78.4331135145759
3800,56.947018667772696
3900,71.22380330184005
4000,95.62475647360336
4100,81.60452494648642
4200,50.5537062024375
4300,63.13640100200259
4400,57.21381502511194
4500,61.50754587357085
4600,63.93855372253291
4700,61.24765638614661
4800,57.05187693490383
4900,58.93644105536064
5000,92.14327611378052
5100,77.46258844411012
5200,55.58489918151613
5300,55.272211966333565
5400,77.96315564647301
5500,76.26497054321196
5600,56.356739503208544
5700,72.24908251080855
5800,82.04461218389118
5900,79.57567452472284
6000,60.172124294901906
6100,66.80966014010461
6200,90.60762890528639
6300,50.35757728598094
6400,60.51992409131351
6500,56.82775243036556
6600,60.69821519947237
6700,49.889410347855026
6800,73.80459851040165
6900,58.64968148241396
7000,52.395436895005076
7100,62.5625360021604
7200,52.97960519945307
7300,74.37808178353627
7400,59.70411366698352
7500,50.88169585249298
7600,66.57024817616774
7700,50.38213641626745
7800,49.74646446964544
7900,81.25002203271288
8000,56.67295421372198
8100,59.58867947753139
8200,58.121736546787474
8300,62.94518512131235
8400,54.796410623127535
8500,60.730669009644316
8600,68.57403039264335
8700,61.968619852320224
8800,76.76760123336526
8900,82.14839000836521
9000,71.0784036105648
9100,81.40421537288206
9200,57.49667470390016
9300,69.50495989672564
9400,75.57770688563177
9500,61.39439963183449
9600,48.15560021363998
9700,69.55762684235653
9800,78.77375331464954
9900,85.44428924113522
10000,57.61450197550534
10100,68.84053645227533
10200,61.40250883238507
10300,63.49779916501762
10400,61.87466693135648
10500,59.15509974593262
10600,77.1025591117936
10700,58.80342862885074
10800,72.67727292265472
10900,63.89443913885807
11000,80.01632206672
11100,65.3447383791167
11200,56.40340778941777
11300,77.35678094280858
11400,56.51030863874382
11500,92.81452614940335
11600,63.397011984525165
11700,59.160299184011556
11800,77.54630228444239
11900,89.199547010856
12000,56.884525300888285
12100,87.47216992594383
12200,63.61814958764329
12300,62.89457776870627
12400,65.51806899618882
12500,82.08054423294372
12600,72.36602783203125
12700,64.917003296913
12800,51.09333889989306
12900,61.39912248224616
13000,64.32253889502343
13100,66.8411559792001
13200,58.609021475716496
13300,66.09096287311594
13400,69.47764869337742
13500,45.60633619230814
13600,67.51526574960796
13700,60.461033636179586
13800,56.54718275003948
13900,84.70816611517596
14000,64.049243418655
14100,68.4224095386672
14200,67.08961343818127
14300,71.2682258249569
14400,49.32554881516076
14500,60.931229748864034
14600,86.46750398214367
14700,49.29418738527173
14800,65.11628528335972
14900,55.316570263468385
15000,73.92997516839357
15100,67.70382184414912
15200,70.0628318782901
15300,56.1292293976428
15400,86.74630800286828
15500,59.0052071026939
15600,67.0491337538472
15700,64.26572294576056
15800,75.29293567220627
15900,64.27020033145303
16000,57.5286692647799
16100,65.37771432435369
16200,56.389322783726726
16300,56.6515350790005
16400,66.19551786089251
16500,80.47053917126054
16600,75.2221166429147
16700,64.34313471599042
16800,68.8351364018061
16900,66.91775886197952
17000,82.81553464231689
17100,77.8774787941082
17200,87.9918688530135
17300,60.76736610839934
17400,68.25818081327236
17500,63.828702611061345
17600,70.5403522916415
17700,72.22660042192913
17800,65.05268679273136
17900,76.94516280085462
18000,51.612639492402316
18100,74.99928699315817
18200,61.658408719768445
18300,80.67074640301358
18400,66.7247517969649
18500,66.31229262562103
18600,51.27852849220142
18700,54.00335168736696
18800,77.96402181426647
18900,51.23196945981439
19000,68.62751830474483
19100,54.780097536566394
19200,64.68027581905858
19300,57.642342764746246
19400,64.05023250967022
19500,57.09738548595561
19600,63.95237891993545
19700,67.32032193265935
19800,62.77947173987373
19900,48.60439924617952
20000,77.04926943748379
20100,63.401255677434094
20200,84.20128525676391
20300,71.04390145540013
20400,59.710122570327904
20500,76.52054238225134
20600,58.396918985633846
20700,71.64513741318545
20800,61.52545577812151
20900,64.85980819168691
21000,51.05633889403187
21100,69.24132132405283
21200,59.51531695398367
21300,83.59181423800953
21400,71.43356078381166
21500,58.62223080153258
21600,71.21596037033687
21700,66.08489457635827
21800,79.93477885733137
21900,55.830540565483005
22000,74.71091895506629
22100,67.10957915069405
22200,54.3353005986458
22300,61.46634109348518
22400,61.81208677544746
22500,62.02039298428163
22600,81.54349252219527
22700,68.28754414999413
22800,58.247387039033306
22900,61.02589535863551
23000,56.56289296816377
23100,53.9894614919061
23200,74.80784791368977
23300,79.08055017678637
23400,62.42766348079559
23500,64.08239105316382
23600,50.82811638299465
23700,59.53478430445296
23800,84.01000688205967
23900,68.2457595171955
24000,84.73472221812818
24100,87.15265051532862
24200,86.00393848376248
24300,103.871886138582
24400,64.23345223430226
24500,71.91379484721446
24600,81.81680884641337
24700,79.42071604656655
24800,63.689604571526196
24900,64.85344006254999
25000,67.26659991532847
25100,86.62153250612343
25200,79.52450430327205
25300,57.537226713802845
25400,69.90819827907988
25500,80.08133867800325
25600,71.20998083193625
25700,72.25472693177588
25800,63.6559928511426
25900,70.97594106749001
26000,50.73367186572393
26100,61.28855935842011
26200,78.51707493729165
26300,66.32623449753912
26400,76.86268996326739
26500,68.28237844883053
26600,62.816408780349434
26700,71.22436018143598
26800,48.56991186652894
26900,78.86417559047742
27000,62.17881952291907
27100,51.296961293401765
27200,55.62740727771558
27300,83.832434449465
27400,97.53377915279361
27500,63.192852025907385
27600,58.83138300464577
27700,75.77831119376317
27800,54.64391395801696
27900,80.51470774702065
28000,74.56702229503341
28100,74.10113076928253
28200,63.389943463058415
28300,86.53493225866875
28400,72.44832654679102
28500,89.79523070914973
28600,51.91817458285066
28700,71.5664095404016
28800,88.49185426768169
28900,70.52617392715081
29000,57.553376340602675
29100,76.81377606444194
29200,78.00451871590037
29300,74.65474469468559
29400,66.94819291033959
29500,88.27785971566401
29600,80.86883743329392
29700,73.04460055757025
29800,73.75559435867736
29900,68.83010645206132
30000,48.43876860806744
30100,64.9822977038224
30200,93.7330091412361
30300,61.68767110277154
30400,82.47436328277061
30500,49.924190707423065
30600,70.2711771890927
30700,76.9224184313059
30800,90.72974099250465
30900,76.24834266312104
31000,67.24144369391695
31100,84.56241792985584
31200,72.29124450683594
31300,74.20017314052808
31400,85.23700448599986
31500,55.72048729603621
31600,65.74861694954497
31700,49.12202565777911
31800,65.61043597036414
31900,65.2004696839307
32000,59.981946105638485
32100,65.24811648375335
32200,90.51902454524684
32300,70.41273523743892
32400,56.73830554897972
32500,67.48623418896541
32600,66.90081017175689
32700,47.528851807788385
32800,69.98468783381412
32900,60.77931159247109
33000,81.22975505047982
33100,54.757083374938
33200,60.22707790078871
33300,78.13893322641924
33400,76.04320734466393
33500,67.67762846866188
33600,62.6840202088784
33700,60.87171489231699
33800,79.7081072879929
33900,70.38878996949767
34000,66.31936778729408
34100,69.34721203440085
34200,60.7175188504646
34300,63.8605513807156
34400,53.933783027108376
34500,59.359365753390954
34600,62.88444858980747
34700,77.074283829451
34800,54.94610277536051
34900,72.57552589974797
35000,84.66438834368172
35100,48.211978139509895
35200,85.4888486233175
35300,63.38314058061735
35400,57.54477019746801
35500,67.9356252485858
35600,69.46668210347823
35700,76.8529781671943
35800,84.29548514665737
35900,66.5193799793987
36000,60.31282168588065
36100,65.03455621883312
36200,46.08329717520729
36300,93.06419403148857
36400,85.7768020810835
36500,77.45589040510792
36600,57.61971118289291
36700,60.913433926675516
36800,78.28282653820183
36900,72.07797899079299
37000,61.66392093805508
37100,72.21614822630333
37200,80.45986911954758
37300,79.00170883064125
37400,54.98679090059858
37500,90.78122654120715
37600,72.79611839873935
37700,62.57595055294089
37800,66.81436485129348
37900,58.66468610216295
38000,79.37295422985613
38100,73.25387818197937
38200,76.02595757667588
38300,61.82537995447273
38400,72.69384747842757
38500,82.00518416732022
38600,63.036878143836525
38700,55.68268453752126
38800,76.67420678255235
38900,55.34124149627887
39000,71.55092901003863
39100,49.41298166716265
39200,61.37713204479555
39300,65.27277598322885
39400,67.04076098175213
39500,56.739124355626444
39600,68.7583077894247
39700,67.67625477026398
39800,74.41248891592531
39900,106.0780112081877
40000,81.53420642004436
40100,83.99904236113568
40200,64.53075703198716
40300,68.10669158431526
40400,49.86480296121665
40500,45.33124387208374
40600,65.95041361710287
40700,73.429546193933
40800,75.42053407874775
40900,68.15638243610233
41000,81.69295621005709
41100,79.7740409386468
41200,63.238231452908515
41300,62.60552592406636
41400,60.013020537191586
41500,52.009458404909545
41600,51.23278589737032
41700,90.40446774654572
41800,80.67691860673516
41900,76.74763126219759
42000,61.93469393326182
42100,57.23420888130409
42200,60.106028875091674
42300,57.508077232750594
42400,99.76938347347073
42500,65.83665099954892
42600,55.17500507132488
42700,62.10129061049996
42800,42.824754929060674
42900,65.23933323224068
43000,84.275537773839
43100,61.3205125660591
43200,78.41323381140108
43300,56.055595423684814
43400,67.84139735604171
43500,74.72596730292531
43600,79.43725499678925
43700,53.30096005790208
43800,67.87113407824111
43900,76.95008560372794
44000,61.919075237696056
44100,57.84435664289345
44200,74.516963853215
44300,58.61186615133499
44400,67.62432870287006
44500,86.4243327363916
44600,76.3040086655519
44700,77.24838090962523
44800,83.94936944308998
44900,67.78121317206471
45000,59.61575862162141
45100,79.23036993359896
45200,89.34559287699734
45300,60.428108894014485
45400,64.4345386693875
45500,46.03024054968905
45600,62.26023769076926
45700,71.62951394265835
45800,61.888474363539345
45900,71.99342642406793
46000,72.51741665876456
46100,56.11952266477961
46200,63.01075930155255
46300,45.85165807951046
46400,77.62043322177922
46500,62.910527441784176
46600,85.8660800242808
46700,62.12345143960219
46800,76.19791209112086
46900,83.38408171403067
47000,70.25244356704965
47100,76.24275557509301
47200,69.68020584341508
47300,69.70552837373579
47400,60.949451890214526
47500,73.7963434377152
47600,62.44173637071959
47700,75.54290205839966
47800,77.2365516643583
47900,94.70764056657609
48000,78.24897357375141
48100,66.3949889348971
48200,99.92699079140131
48300,87.79908621119206
48400,49.6956763765113
48500,65.99559922495747
48600,65.17038037288262
48700,67.15132377183934
48800,62.023440322120194
48900,69.81530394216347
49000,62.94542202614001
49100,69.354979144543
49200,63.49450234287781
49300,56.649426841478025
49400,71.97614058846592
49500,77.7337865317359
49600,84.00036410722322
49700,82.50651999247101
49800,58.39314845307145
49900,86.66906880691712
50000,83.87312797209837
50100,71.62452174021635
50200,44.55674727957265
50300,67.67488099954976
50400,71.16753166425052
50500,88.74757482765403
50600,79.87247254187382
50700,56.89879107877824
50800,73.23756342909851
50900,64.57525486494693
51000,66.07635347257767
51100,71.50496851884523
51200,83.97836541943428
51300,92.93359623109966
51400,85.36926232854704
51500,67.6855899204819
51600,72.23027609474049
51700,55.48892790010922
51800,78.55427415306754
51900,94.78509164662802
52000,78.79105143371193
52100,72.84547001722878
52200,76.5975490250275
52300,80.29236568447362
52400,53.487232121256504
52500,80.73156204691064
52600,59.4376314865694
52700,82.49376013513624
52800,80.73500554811632
52900,74.41166086904863
53000,88.42950448703273
53100,88.54081244762921
53200,69.96788269154338
53300,70.50478563817501
53400,83.17276065236354
53500,62.211677724253256
53600,62.35603672458326
53700,74.80513241617707
53800,60.88093585333437
53900,69.07718345016865
54000,78.00272517560937
